run_id,experiment,dataset,depth,time_steps,condition,topology,neuron,seed,config_file,config_hash,config_file_sha256,matrix_key,protocol_hash
E1_cifar100_d20_t6_C1_s2141022414,E1,cifar100,20,6,C1,spiking_resnet,lif,2141022414,E1_cifar100_d20_t6_C1_s2141022414.yaml,f63fea21129c5de63ffd08687c23a7bad1ced9db09bdc19ce6ffc9d7eaf3a60e,8f13623b0b7d6efcf8ef41cfcfac0f9a9427c08831243b1de1cecdf63ea1d7e4,"[""cifar100"",20,6,""C1"",2141022414]",a5b2a664de5142438061f479a37f3b55401499104abb28ee3cf1d674ec1d4527
E1_cifar100_d20_t6_C2_s2141022414,E1,cifar100,20,6,C2,spiking_resnet,ta_lif,2141022414,E1_cifar100_d20_t6_C2_s2141022414.yaml,5240e3d29d45f6903905f8ead2175616c7fae349a1206262220b0a6773d7efdd,483111ccb126182d90e8573dd9239ae21bd4e41232884d2269cf379c4e1cdcfc,"[""cifar100"",20,6,""C2"",2141022414]",a5b2a664de5142438061f479a37f3b55401499104abb28ee3cf1d674ec1d4527
E1_cifar100_d20_t6_C1_s252611743,E1,cifar100,20,6,C1,spiking_resnet,lif,252611743,E1_cifar100_d20_t6_C1_s252611743.yaml,ad7a44179793a6cfab83a55571078ba6ea301a251ad0fd6f60b76b912ec91831,63441b42778662274ab67382f5960c2b3a6b7c0e5e798dbf8a8818799574e6af,"[""cifar100"",20,6,""C1"",252611743]",a5b2a664de5142438061f479a37f3b55401499104abb28ee3cf1d674ec1d4527
E1_cifar100_d20_t6_C2_s252611743,E1,cifar100,20,6,C2,spiking_resnet,ta_lif,252611743,E1_cifar100_d20_t6_C2_s252611743.yaml,0121f8e79eabbbb5efa822cbfddf3dbc41818c71c1362fa24ff9cc54554e34b5,95a1b84862ed7ed0c176da3b8a018c546de138b82c961cb313c67022e31e367f,"[""cifar100"",20,6,""C2"",252611743]",a5b2a664de5142438061f479a37f3b55401499104abb28ee3cf1d674ec1d4527
E1_cifar100_d20_t6_C1_s1147962214,E1,cifar100,20,6,C1,spiking_resnet,lif,1147962214,E1_cifar100_d20_t6_C1_s1147962214.yaml,a41b1c380cc22768904ef422ca92542449dcf6c3bce80718a90b533dd3cf1751,c2e968f3121f6288c289e46c683f842ab1263df02f84ef757e89d216548e7654,"[""cifar100"",20,6,""C1"",1147962214]",a5b2a664de5142438061f479a37f3b55401499104abb28ee3cf1d674ec1d4527
E1_cifar100_d20_t6_C2_s1147962214,E1,cifar100,20,6,C2,spiking_resnet,ta_lif,1147962214,E1_cifar100_d20_t6_C2_s1147962214.yaml,d92e8797c8d5feb70d356867c69ca5165d37186344eab11d04f7648778721aba,69482068ddd247c7aa46a9e4d74660f6a0ccd0d5fef4155506224c0ec30938f6,"[""cifar100"",20,6,""C2"",1147962214]",a5b2a664de5142438061f479a37f3b55401499104abb28ee3cf1d674ec1d4527
E1_cifar100_d20_t6_C1_s931150728,E1,cifar100,20,6,C1,spiking_resnet,lif,931150728,E1_cifar100_d20_t6_C1_s931150728.yaml,6c85ebcd2da7abbd4f4afd498b5058bc20715ee8b382bc42406f366c4532e183,8d217f8fd1e71d3b12bfc367a17fc961dd159b48039a2bedead722f35b80dd65,"[""cifar100"",20,6,""C1"",931150728]",a5b2a664de5142438061f479a37f3b55401499104abb28ee3cf1d674ec1d4527
E1_cifar100_d20_t6_C2_s931150728,E1,cifar100,20,6,C2,spiking_resnet,ta_lif,931150728,E1_cifar100_d20_t6_C2_s931150728.yaml,3ffa327529e09c6067d24cb70f3e655e94d813044ef22b7f51d6bf537e687713,7065b10b61990f15b819f79d54da1b156117de6dedbfcf461436cec39f6494c0,"[""cifar100"",20,6,""C2"",931150728]",a5b2a664de5142438061f479a37f3b55401499104abb28ee3cf1d674ec1d4527
E1_cifar100_d20_t6_C1_s2106521224,E1,cifar100,20,6,C1,spiking_resnet,lif,2106521224,E1_cifar100_d20_t6_C1_s2106521224.yaml,e6651555c90ea6f2f89348a239139599fb2c0136a5706a970badb382320dd146,815b9af03fa1cb04b17875bdeaf8fbb92bd12ea104d521bd79574025c5f800ef,"[""cifar100"",20,6,""C1"",2106521224]",a5b2a664de5142438061f479a37f3b55401499104abb28ee3cf1d674ec1d4527
E1_cifar100_d20_t6_C2_s2106521224,E1,cifar100,20,6,C2,spiking_resnet,ta_lif,2106521224,E1_cifar100_d20_t6_C2_s2106521224.yaml,cbd1f77b14f7067c635b87270de56c51fc6e480017cbe1603b51264adb7091ee,84532f706564ba3adf1234ff1a18a7f503ead56b04958b7a10c58beab99c884d,"[""cifar100"",20,6,""C2"",2106521224]",a5b2a664de5142438061f479a37f3b55401499104abb28ee3cf1d674ec1d4527
