run_id,experiment,dataset,depth,time_steps,condition,topology,neuron,seed,config_file,config_hash,config_file_sha256,matrix_key,protocol_hash
E9_cifar100_d20_t6_M0_s404085484,E9,cifar100,20,6,M0,spiking_resnet,lif,404085484,E9_cifar100_d20_t6_M0_s404085484.yaml,24eb6c5aebd6f43eb8e492996dba1cf8585e416fde9b839eb66e9630f3c8fdea,8116b04499c3541d32974c2cd9719326cc793119938c35d4f4fe8d14181a6a7a,"[""cifar100"",20,6,""M0"",404085484]",ce8240e28147a87ee76a3953f8097613ecc33d683339ad66d9e73a126104265c
E9_cifar100_d20_t6_M1_s404085484,E9,cifar100,20,6,M1,spiking_resnet,route_matched_lif,404085484,E9_cifar100_d20_t6_M1_s404085484.yaml,1520eec39a0df08b15eb129d8b2f996bb9214b4c112699928183af9d6e98e36d,5116148f3ed874c6b8cd1ea35928825389b89d237ef1f12b5935f88b1bdd7ba5,"[""cifar100"",20,6,""M1"",404085484]",ce8240e28147a87ee76a3953f8097613ecc33d683339ad66d9e73a126104265c
E9_cifar100_d20_t6_M2_s404085484,E9,cifar100,20,6,M2,spiking_resnet,shared_window_ta_lif,404085484,E9_cifar100_d20_t6_M2_s404085484.yaml,0ba4e2afa684614008a81e3cd840737ac9a8360aa93eb2f0d833201706c8fe56,fd7dcf6e4e8c2edfb9471b7d956a902e4321d611987a3a5938c5e91a9ee78355,"[""cifar100"",20,6,""M2"",404085484]",ce8240e28147a87ee76a3953f8097613ecc33d683339ad66d9e73a126104265c
E9_cifar100_d20_t6_M3_s404085484,E9,cifar100,20,6,M3,spiking_resnet,time_indexed_ta_lif,404085484,E9_cifar100_d20_t6_M3_s404085484.yaml,e3165df116e1760c019343ed745a9da69a419071a7ff7cd8be573e60cdd5ee8f,227066ea1c1c4902aee0709225d5507a18b21183213fff05b3d17a77729b6f21,"[""cifar100"",20,6,""M3"",404085484]",ce8240e28147a87ee76a3953f8097613ecc33d683339ad66d9e73a126104265c
E9_cifar100_d20_t6_M4_s404085484,E9,cifar100,20,6,M4,spiking_resnet,ta_lif,404085484,E9_cifar100_d20_t6_M4_s404085484.yaml,efd07d2d55136b6b5cfa40a03f60597f96b482ba055be2b74a4a987869b2d6c2,82dc44a3fa04eac5b19fe8bfe6ea1a18bf8d08541c919584f62c9d6c7aed3bc9,"[""cifar100"",20,6,""M4"",404085484]",ce8240e28147a87ee76a3953f8097613ecc33d683339ad66d9e73a126104265c
E9_cifar100_d20_t6_PLIF_s404085484,E9,cifar100,20,6,PLIF,spiking_resnet,plif_style,404085484,E9_cifar100_d20_t6_PLIF_s404085484.yaml,6b163d0bace29bc7dc8d0b287e344035701b172603a19c526b9e8fceac60e7f2,a84debd7d50f81ee342743d087b52fae9c3b29e6e16c3e44d74fd9a5076a7ec7,"[""cifar100"",20,6,""PLIF"",404085484]",ce8240e28147a87ee76a3953f8097613ecc33d683339ad66d9e73a126104265c
E9_cifar100_d20_t6_M0_s937711809,E9,cifar100,20,6,M0,spiking_resnet,lif,937711809,E9_cifar100_d20_t6_M0_s937711809.yaml,b1705340c79606f0576624a8c1a265c80851c8c3174396fbbfa31da49c4e53b5,720750c81a96e26a7758d5cc172044936f056268c5523462bdcda415e3386624,"[""cifar100"",20,6,""M0"",937711809]",ce8240e28147a87ee76a3953f8097613ecc33d683339ad66d9e73a126104265c
E9_cifar100_d20_t6_M1_s937711809,E9,cifar100,20,6,M1,spiking_resnet,route_matched_lif,937711809,E9_cifar100_d20_t6_M1_s937711809.yaml,f92e0b3443c74f0a293103b7ef7a062bd9e14c403d6b670511019f10521378e3,19d729920c0eab6aef659edbeee7cde9a33e8ff21df81b1ea865f518cd305bc5,"[""cifar100"",20,6,""M1"",937711809]",ce8240e28147a87ee76a3953f8097613ecc33d683339ad66d9e73a126104265c
E9_cifar100_d20_t6_M2_s937711809,E9,cifar100,20,6,M2,spiking_resnet,shared_window_ta_lif,937711809,E9_cifar100_d20_t6_M2_s937711809.yaml,987ead6391c61f7b24f6d3e92af179d59912e14346d24d8213ec88b9f9f097e9,41e20cd389b447b9fd9d8eec3ecdc58dd143e0a81cd405b2ffd9200ce5a3aaa1,"[""cifar100"",20,6,""M2"",937711809]",ce8240e28147a87ee76a3953f8097613ecc33d683339ad66d9e73a126104265c
E9_cifar100_d20_t6_M3_s937711809,E9,cifar100,20,6,M3,spiking_resnet,time_indexed_ta_lif,937711809,E9_cifar100_d20_t6_M3_s937711809.yaml,194baa13580050244041dcee2899978589239f08a992b83521e4b5b86dcece0b,6d221b6f880e0af5e0f6985cfc453a36ff316d8616b11fffe393450620a5a115,"[""cifar100"",20,6,""M3"",937711809]",ce8240e28147a87ee76a3953f8097613ecc33d683339ad66d9e73a126104265c
E9_cifar100_d20_t6_M4_s937711809,E9,cifar100,20,6,M4,spiking_resnet,ta_lif,937711809,E9_cifar100_d20_t6_M4_s937711809.yaml,36c1d17e13e99cfc34cde74abc70fecc6a5512e7bcd0039fe88f5687f6679ad8,625ef32c83e9a354a80c3ef22e1d624f68a3effc9fdb141e9c58aff034ec6def,"[""cifar100"",20,6,""M4"",937711809]",ce8240e28147a87ee76a3953f8097613ecc33d683339ad66d9e73a126104265c
